model,accuracy,balanced_accuracy,f1_weighted,mcc,time_s
Ridge Classifier,0.6295057599405426,0.6027393036473444,0.6179070074704001,0.4343562288360775,0.18651318550109863
Logistic Regression (L1),0.6295057599405426,0.6028857265894215,0.6182178722792163,0.4338022040672328,27.151458024978638
Logistic Regression (ElasticNet),0.6295057599405426,0.6032819031458229,0.6190100875973932,0.43392644534977104,11.800565004348755
SVC (RBF),0.6566332218506131,0.6217761902795519,0.6345219708161427,0.47615062676918807,4.1656739711761475
SVC (Linear),0.6328502415458938,0.6071790013957471,0.6228918678124491,0.43969095039330364,2.8511061668395996
Decision Tree,0.6774433296172426,0.6634471909388738,0.6776486673435426,0.5104606421713302,0.25267982482910156
Random Forest,0.7131178000743218,0.6917153007615905,0.7074971839198362,0.5621747864702561,4.068220138549805
k-Nearest Neighbors,0.6484578223708658,0.6288395248073037,0.6432088836189677,0.46407309107855116,4.592801809310913
Gradient Boosting,0.6399108138238573,0.6054413840073757,0.6176789879606124,0.4495711101572066,6.602876901626587
AdaBoost,0.5945745076179859,0.556028677546132,0.5607708014463588,0.38033309451893915,5.656616926193237
MLP Classifier,0.6941657376439985,0.6703935630745113,0.6863123705759703,0.5333051829751222,2.502232074737549
Gaussian Naive Bayes,0.4916387959866221,0.4869717578941332,0.465854348886555,0.265533102727742,0.16712427139282227
Linear Discriminant Analysis,0.633221850613155,0.6141491996499842,0.6304032538129234,0.44208201647714107,1.053344964981079
XGBoost,0.7231512448903753,0.705952187658993,0.7201868116244111,0.5781664525373965,107.92109107971191
