model,accuracy,balanced_accuracy,f1_weighted,mcc,time_s
Ridge Classifier,0.5912300260126347,0.553000189479557,0.5598555516939218,0.37343683000972605,0.15765595436096191
Logistic Regression (L1),0.5756224451876626,0.538702997688243,0.5469532354356081,0.34789462413965716,17.348204851150513
Logistic Regression (ElasticNet),0.5774804905239688,0.5412915529772943,0.5498367920468584,0.35094128291757487,18.40742802619934
SVC (RBF),0.5726495726495726,0.5242922172253897,0.5138300349688237,0.3471541591300859,2.4502739906311035
SVC (Linear),0.5975473801560758,0.5644442438007408,0.5766649732813193,0.38275664070946364,16.807799100875854
Decision Tree,0.6562616127833519,0.6409389732551593,0.6563308299952377,0.47798097943309126,0.25148701667785645
Random Forest,0.7138610182088443,0.6896371736881278,0.7070420336952766,0.5632218740872917,3.7149932384490967
k-Nearest Neighbors,0.6243032329988851,0.6015305133454384,0.6203667673578938,0.42620791254404067,3.406627893447876
Gradient Boosting,0.6480862133036046,0.612744409770062,0.628033264309312,0.4613707401570811,5.814478158950806
AdaBoost,0.5964325529542921,0.5606412078870198,0.5730369888364177,0.3802978196996614,4.8314208984375
MLP Classifier,0.6135265700483091,0.5837566972015265,0.5994818467063806,0.40784401513033924,1.5939967632293701
Gaussian Naive Bayes,0.44816053511705684,0.4117172200722856,0.4205620965190334,0.14337284165992942,0.16469883918762207
Linear Discriminant Analysis,0.5897435897435898,0.556524277194966,0.5690291992541807,0.369798446952575,1.2738959789276123
XGBoost,0.7030843552582683,0.6840261550400237,0.700300787357984,0.5477544798173849,80.92424702644348
